IDS
22
1,1
19,19
-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
-1, 7, 1, 6, 6, 1, 8, 3, 8, 9, 5, 6, -1, 2, -1, 1, 7, 6, 6, 8, -1, -1
-1, 3, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, 7, -1, 5, -1, -1, -1, -1, -1, -1
-1, 5, 1, 5, -1, 5, 4, 3, 1, 1, 1, 7, 9, 7, 8, 8, 4, 7, 4, 7, -1, -1
-1, 4, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, 4, -1, 2, -1, -1
-1, 9, 5, 6, 8, 8, 9, 4, 9, 5, 3, 2, 8, 2, -1, 5, -1, 7, -1, 9, -1, -1
-1, 8, -1, 6, -1, 6, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5, -1, -1
-1, 3, -1, 1, -1, 1, -1, 7, 7, 2, 4, 3, 7, 4, 7, 5, 2, 1, -1, 3, -1, -1
-1, 3, -1, 7, -1, -1, -1, -1, -1, 2, -1, 9, -1, 9, -1, 4, -1, 9, -1, -1, -1, -1
-1, 8, -1, 7, 8, 4, 9, 7, -1, 2, -1, 1, -1, 3, -1, 5, -1, 4, -1, 8, -1, -1
-1, 5, -1, 7, -1, 5, -1, 2, -1, 1, -1, 1, -1, -1, -1, 4, -1, 4, -1, 1, -1, -1
-1, 8, -1, 6, -1, 9, -1, 2, -1, 8, -1, 1, 7, 6, -1, 9, -1, 2, 1, 2, -1, -1
-1, 7, -1, 9, -1, 6, -1, 9, -1, -1, -1, 8, -1, -1, -1, 6, -1, -1, -1, -1, -1, -1
-1, 3, -1, 7, -1, 3, -1, 3, 3, 7, -1, 5, -1, 1, -1, 6, 7, 6, 1, 3, -1, -1
-1, 8, -1, 2, -1, -1, -1, 2, -1, -1, -1, -1, -1, 7, -1, -1, -1, -1, -1, 3, -1, -1
-1, 3, -1, 5, -1, 8, 4, 6, 8, 1, 9, 1, 3, 2, 9, 2, 5, 1, -1, 5, -1, -1
-1, -1, -1, 3, -1, 4, -1, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 8, -1, -1
-1, 6, 8, 2, -1, 1, -1, 5, 5, 5, 9, 8, 6, 3, 1, 3, -1, 1, 5, 5, -1, -1
-1, -1, -1, -1, -1, -1, -1, 7, -1, -1, -1, -1, -1, 8, -1, -1, -1, -1, -1, 3, -1, -1
-1, 7, 7, 3, 8, 6, 8, 4, 7, 5, 9, 8, -1, 5, 5, 3, 2, 1, -1, 8, -1, -1
-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
